condition,seed,last_generation,final_mean_fitness,final_distance_from_optimum,final_phenotype_variance,survived,extinct_at
naive,0,30,0.5722036887526489,0.1826208284023403,0.003135244213210921,False,31
pre_adapted,0,0,0.07573809374522882,0.4516538369727266,0.0020449573585778467,False,1
naive,1,30,0.8245040490803041,0.11656896219033044,0.0005206390986259984,False,31
pre_adapted,1,0,0.030679386972563272,0.5237932466481219,0.002232709196303738,False,1
naive,2,30,0.5814452983379514,0.19846451344277094,0.0011231192099913985,False,31
pre_adapted,2,0,0.09707059178234743,0.4450340316622105,0.001628180654615017,False,1
naive,3,30,0.8506550233596141,0.09116446476501547,0.0012232884841854397,False,31
pre_adapted,3,30,0.07415728240612067,0.46234568608247434,0.002150490671063753,False,31
naive,4,30,0.5726496372173094,0.1988574198170966,0.0014879059562014538,False,31
pre_adapted,4,30,0.23757997833293706,0.33495086192056767,0.0010013819093468482,False,31
naive,5,30,0.7889549552701055,0.1285705094764224,0.0007847139656058607,False,31
pre_adapted,5,30,0.2444434433935996,0.3305377160173379,0.002185597523338029,False,31
naive,6,30,0.5108404710248823,0.22369802093116167,0.001639411588871893,False,31
pre_adapted,6,30,0.1664113414927035,0.3776939099253116,0.0006213112882538919,False,31
naive,7,30,0.4926195996168507,0.22729986914562586,0.0016103206546292529,False,31
pre_adapted,7,30,0.288231308034409,0.3112576906499231,0.0010308206640472933,False,31
naive,8,30,0.7802861341762712,0.12759206426898353,0.001337584625826416,False,31
pre_adapted,8,30,0.1614753663629533,0.3791026665081686,0.0011144738804711584,False,31
naive,9,30,0.7072845094310426,0.13635679380841867,0.0028580872845539755,False,31
pre_adapted,9,30,0.4216578022056494,0.2543242530937677,0.0015516945008588873,False,31
naive,10,30,0.7445808510093077,0.13682801568475803,0.001865870271135732,False,31
pre_adapted,10,30,0.11717672029717534,0.4127701385944016,0.001292550501244693,False,31
naive,11,30,0.5640321755855067,0.20332745307245792,0.0015260019569729134,False,31
pre_adapted,11,30,0.4354667949625226,0.24788453464296908,0.0015500747998392224,False,31
naive,12,30,0.4016263431874808,0.2558874077645802,0.0020927430874393646,False,31
pre_adapted,12,0,0.0427955679827853,0.5013950582996825,0.0007189201630358216,False,1
naive,13,30,0.679377460127297,0.1608518663833425,0.0016008632682925935,False,31
pre_adapted,13,30,0.38631412215660066,0.2707894597825804,0.0016831083109728293,False,31
naive,14,30,0.7159684482211469,0.11967302522519635,0.0036302614451987963,False,31
pre_adapted,14,0,0.012730190979517705,0.5907049698690822,0.00038925245773429137,False,1
naive,15,30,0.6415960319782014,0.18412422646043616,0.0006292971335102005,False,31
pre_adapted,15,30,0.18167111056344343,0.3630693242397962,0.002486271796133592,False,31
naive,16,30,0.7572235450972293,0.12317953425051989,0.0018859820751464412,False,31
pre_adapted,16,0,0.0826061973270751,0.4486774358743608,0.00036153953706143235,False,1
naive,17,30,0.5910793309855733,0.18251524376875441,0.003743439300138836,False,31
pre_adapted,17,30,0.17906613273453728,0.36779829232392564,0.0012424534956970552,False,31
naive,18,30,0.35870942432328634,0.2800769095520519,0.0016464336554637396,False,31
pre_adapted,18,30,0.14887010867201758,0.38630559515526397,0.002004171250914099,False,31
naive,19,30,0.8031725842810754,0.10805531524011595,0.0017084248168560703,False,31
pre_adapted,19,30,0.03716514505059763,0.5153836723751415,0.0003554938707627764,False,31
